,Head [m] B32C0572_DEBILT,Prec [m/d] 260_DEBILT,Evap [m/d] 260_DEBILT,Temp [C] 260_DEBILT
1959-07-01,,0.0029,0.0009,13.9000
1959-07-02,,0.0004,0.0021,15.7000
1959-07-03,,0.0058,0.0009,17.8000
1959-07-04,,0.0019,0.0018,17.5000
1959-07-05,,0.0001,0.0045,19.9000
1959-07-06,,0.0000,0.0048,23.2000
1959-07-07,,0.0001,0.0041,19.2000
1959-07-08,,0.0000,0.0047,18.4000
1959-07-09,,0.0000,0.0051,23.2000
1959-07-10,,0.0019,0.0046,24.7000
1959-07-11,,0.0000,0.0035,21.9000
1959-07-12,,0.0000,0.0042,21.5000
1959-07-13,,0.0004,0.0022,16.6000
1959-07-14,,0.0008,0.0035,16.1000
1959-07-15,,0.0001,0.0030,14.0000
1959-07-16,,0.0000,0.0038,15.1000
1959-07-17,,0.0000,0.0048,17.6000
1959-07-18,,0.0000,0.0033,18.9000
1959-07-19,,0.0000,0.0043,24.0000
1959-07-20,,0.0000,0.0039,20.4000
1959-07-21,,0.0000,0.0048,17.6000
1959-07-22,,0.0000,0.0046,18.2000
1959-07-23,,0.0000,0.0039,18.0000
1959-07-24,,0.0000,0.0046,17.1000
1959-07-25,,0.0000,0.0039,17.7000
1959-07-26,,0.0000,0.0043,18.0000
1959-07-27,,0.0000,0.0045,19.5000
1959-07-28,,0.0006,0.0022,18.8000
1959-07-29,,0.0012,0.0025,16.6000
1959-07-30,,0.0081,0.0017,14.6000
1959-07-31,,0.0152,0.0009,14.6000
1959-08-01,,0.0114,0.0012,16.0000
1959-08-02,,0.0000,0.0032,17.3000
1959-08-03,,0.0011,0.0027,16.8000
1959-08-04,,0.0042,0.0009,14.0000
1959-08-05,,0.0002,0.0018,16.4000
1959-08-06,,0.0001,0.0011,16.3000
1959-08-07,,0.0000,0.0019,17.0000
1959-08-08,,0.0000,0.0036,18.0000
1959-08-09,,0.0000,0.0039,21.4000
1959-08-10,,0.0047,0.0020,19.9000
1959-08-11,,0.0007,0.0037,21.7000
1959-08-12,,0.0079,0.0006,17.4000
1959-08-13,,0.0022,0.0010,17.1000
1959-08-14,,0.0000,0.0034,19.7000
1959-08-15,,0.0009,0.0018,18.9000
1959-08-16,,0.0000,0.0030,15.9000
1959-08-17,,0.0000,0.0034,15.4000
1959-08-18,,0.0000,0.0036,15.8000
1959-08-19,,0.0000,0.0039,17.6000
1959-08-20,,0.0000,0.0039,21.7000
1959-08-21,,0.0000,0.0038,22.6000
1959-08-22,,0.0015,0.0033,21.8000
1959-08-23,,0.0000,0.0025,18.2000
1959-08-24,,0.0000,0.0023,17.7000
1959-08-25,,0.0001,0.0031,19.8000
1959-08-26,,0.0000,0.0031,20.8000
1959-08-27,,0.0001,0.0030,19.0000
1959-08-28,,0.0000,0.0025,15.0000
1959-08-29,,0.0003,0.0021,14.8000
1959-08-30,,0.0004,0.0026,13.7000
1959-08-31,,0.0003,0.0028,14.5000
1959-09-01,,0.0005,0.0028,14.9000
1959-09-02,,0.0000,0.0028,14.6000
1959-09-03,,0.0000,0.0031,15.5000
1959-09-04,,0.0000,0.0031,16.7000
1959-09-05,,0.0000,0.0031,16.8000
1959-09-06,,0.0000,0.0031,18.1000
1959-09-07,,0.0000,0.0029,17.4000
1959-09-08,,0.0000,0.0031,17.4000
1959-09-09,,0.0000,0.0030,18.0000
1959-09-10,,0.0000,0.0029,18.7000
1959-09-11,,0.0000,0.0027,19.1000
1959-09-12,,0.0000,0.0027,19.9000
1959-09-13,,0.0000,0.0025,18.8000
1959-09-14,,0.0001,0.0022,16.1000
1959-09-15,,0.0000,0.0021,15.6000
1959-09-16,,0.0000,0.0027,14.2000
1959-09-17,,0.0000,0.0013,13.4000
1959-09-18,,0.0000,0.0025,13.3000
1959-09-19,,0.0000,0.0017,13.1000
1959-09-20,,0.0000,0.0013,15.9000
1959-09-21,,0.0000,0.0017,14.1000
1959-09-22,,0.0000,0.0019,14.0000
1959-09-23,,0.0028,0.0022,15.7000
1959-09-24,,0.0000,0.0015,12.5000
1959-09-25,,0.0000,0.0015,13.8000
1959-09-26,,0.0000,0.0017,15.1000
1959-09-27,,0.0000,0.0012,14.8000
1959-09-28,,0.0001,0.0019,13.5000
1959-09-29,,0.0000,0.0016,11.8000
1959-09-30,,0.0000,0.0018,14.5000
1959-10-01,,0.0000,0.0013,13.1000
1959-10-02,,0.0000,0.0017,12.2000
1959-10-03,,0.0000,0.0016,14.5000
1959-10-04,,0.0000,0.0016,16.7000
1959-10-05,,0.0000,0.0009,14.3000
1959-10-06,,0.0000,0.0017,12.2000
1959-10-07,,0.0000,0.0017,11.0000
1959-10-08,,0.0000,0.0016,11.6000
1959-10-09,,0.0000,0.0014,11.1000
1959-10-10,,0.0000,0.0012,10.6000
1959-10-11,,0.0000,0.0013,14.0000
1959-10-12,,0.0000,0.0003,12.0000
1959-10-13,,0.0000,0.0008,12.9000
1959-10-14,,0.0000,0.0007,11.4000
1959-10-15,,0.0000,0.0014,13.7000
1959-10-16,,0.0000,0.0013,11.1000
1959-10-17,,0.0000,0.0013,11.9000
1959-10-18,,0.0000,0.0011,13.6000
1959-10-19,,0.0010,0.0008,13.3000
1959-10-20,,0.0121,0.0003,10.9000
1959-10-21,,0.0008,0.0009,9.8000
1959-10-22,,0.0018,0.0003,9.2000
1959-10-23,,0.0032,0.0013,12.7000
1959-10-24,,0.0000,0.0005,9.8000
1959-10-25,,0.0000,0.0003,11.7000
1959-10-26,,0.0051,0.0010,10.2000
1959-10-27,,0.0007,0.0009,9.1000
1959-10-28,,0.0180,0.0001,9.0000
1959-10-29,,0.0011,0.0009,6.7000
1959-10-30,,0.0010,0.0009,6.6000
1959-10-31,,0.0176,0.0001,7.4000
1959-11-01,,0.0006,0.0004,8.1000
1959-11-02,,0.0003,0.0004,4.8000
1959-11-03,,0.0001,0.0008,5.6000
1959-11-04,,0.0001,0.0005,6.1000
1959-11-05,,0.0048,0.0005,7.6000
1959-11-06,,0.0000,0.0007,4.0000
1959-11-07,,0.0002,0.0003,1.3000
1959-11-08,,0.0002,0.0004,1.5000
1959-11-09,,0.0000,0.0004,0.7000
