,head,prec,evap
1987-12-31,8.4999962,0.0,0.4
1988-01-01,8.4999771,8.3,0.2
1988-01-02,8.4999485,4.8,0.1
1988-01-03,8.4999142,1.5,0.3
1988-01-04,8.4998674,3.1,0.4
1988-01-05,8.4998074,7.1,0.1
1988-01-06,8.4997425,13.2,0.4
1988-01-07,8.4996758,3.5,0.1
1988-01-08,8.4996710,0.1,0.3
1988-01-09,8.5003824,0.1,0.1
1988-01-10,8.5038147,6.9,0.2
1988-01-11,8.5106468,1.2,0.5
1988-01-12,8.5193930,0.0,0.5
1988-01-13,8.5290939,0.0,0.3
1988-01-14,8.5388897,0.1,0.4
1988-01-15,8.5480922,0.0,0.2
1988-01-16,8.5562891,0.0,0.1
1988-01-17,8.5633544,0.0,0.1
1988-01-18,8.5693138,0.0,0.3
1988-01-19,8.5742357,0.0,0.5
1988-01-20,8.5781975,1.0,0.1
1988-01-21,8.5813134,1.4,0.2
1988-01-22,8.5837176,16.7,0.1
1988-01-23,8.5855164,6.3,0.5
1988-01-24,8.5869679,7.9,0.3
1988-01-25,8.5901148,12.1,0.1
1988-01-26,8.6002384,2.5,0.2
1988-01-27,8.6225724,2.0,0.4
1988-01-28,8.6476726,8.3,0.2
1988-01-29,8.6681720,11.9,0.2
1988-01-30,8.6890378,0.6,0.4
1988-01-31,8.7144349,0.4,0.4
1988-02-01,8.7358953,8.8,0.3
1988-02-02,8.7504334,1.8,0.5
1988-02-03,8.7626578,2.1,0.5
1988-02-04,8.7735520,5.9,0.4
1988-02-05,8.7820859,11.1,0.8
1988-02-06,8.7913416,12.2,0.5
1988-02-07,8.8116202,3.3,0.4
1988-02-08,8.8384469,5.9,0.3
1988-02-09,8.8583489,4.1,0.5
1988-02-10,8.8740607,14.0,0.2
1988-02-11,8.8931949,0.4,0.9
1988-02-12,8.9130997,0.8,0.6
1988-02-13,8.9228935,0.0,0.9
1988-02-14,8.9254762,0.0,0.8
1988-02-15,8.9235634,0.0,1.0
1988-02-16,8.9190033,0.0,0.6
1988-02-17,8.9127418,1.1,0.6
1988-02-18,8.9053929,1.5,0.4
1988-02-19,8.8970706,0.5,1.0
1988-02-20,8.8882215,0.0,0.7
1988-02-21,8.8792146,0.0,0.3
1988-02-22,8.8700943,0.0,0.7
1988-02-23,8.8610529,1.7,0.7
1988-02-24,8.8519723,0.4,0.6
1988-02-25,8.8428205,0.5,0.6
1988-02-26,8.8337090,0.0,0.3
1988-02-27,8.8246365,0.0,0.5
1988-02-28,8.8158251,6.1,0.8
1988-02-29,8.8072380,5.6,0.6
1988-03-01,8.7988011,4.5,0.8
1988-03-02,8.7908784,0.4,1.0
1988-03-03,8.7845728,2.4,0.3
1988-03-04,8.7799572,0.0,0.9
1988-03-05,8.7762039,4.2,0.7
1988-03-06,8.7727471,8.1,0.5
1988-03-07,8.7694626,8.9,1.0
1988-03-08,8.7683234,0.0,1.3
1988-03-09,8.7723275,0.2,0.4
1988-03-10,8.7775025,4.5,0.8
1988-03-11,8.7805489,4.3,0.6
1988-03-12,8.7820146,1.2,0.8
1988-03-13,8.7833636,3.8,0.4
1988-03-14,8.7845723,0.3,1.1
1988-03-15,8.7854893,10.1,0.3
1988-03-16,8.7862499,1.5,0.5
1988-03-17,8.7885281,0.1,1.7
1988-03-18,8.7915928,0.0,1.8
1988-03-19,8.7933086,3.4,0.2
1988-03-20,8.7930904,10.2,1.0
1988-03-21,8.7917230,8.7,0.4
1988-03-22,8.7928092,0.0,1.6
1988-03-23,8.7993920,3.4,0.8
1988-03-24,8.8058313,17.3,0.6
1988-03-25,8.8145621,5.6,0.4
1988-03-26,8.8355274,2.1,1.3
1988-03-27,8.8530865,3.2,1.0
1988-03-28,8.8633972,2.8,0.7
1988-03-29,8.8692101,5.8,0.8
1988-03-30,8.8728313,5.5,0.9
1988-03-31,8.8768926,0.0,0.9
1988-04-01,8.8807736,0.0,1.6
1988-04-02,8.8813224,0.0,2.1
1988-04-03,8.8783036,0.0,2.1
1988-04-04,8.8726695,0.0,2.2
1988-04-05,8.8655605,0.0,1.7
1988-04-06,8.8572251,0.0,2.5
1988-04-07,8.8480876,0.0,2.2
1988-04-08,8.8387024,0.0,1.0
1988-04-09,8.8290889,4.3,1.2
1988-04-10,8.8191713,0.0,2.3
1988-04-11,8.8094322,0.0,1.5
1988-04-12,8.7995099,0.0,2.8
1988-04-13,8.7894950,0.0,2.3
1988-04-14,8.7793574,0.0,2.9
1988-04-15,8.7692976,0.0,2.9
1988-04-16,8.7597691,10.6,1.6
1988-04-17,8.7505862,0.0,1.5
1988-04-18,8.7413827,0.0,3.2
1988-04-19,8.7321527,1.5,2.9
1988-04-20,8.7231996,0.7,1.5
1988-04-21,8.7148446,0.2,1.3
1988-04-22,8.7066922,0.1,3.1
1988-04-23,8.6986124,0.0,3.0
1988-04-24,8.6906274,0.1,3.2
1988-04-25,8.6827565,0.0,2.9
1988-04-26,8.6750718,0.0,2.5
1988-04-27,8.6677127,0.1,3.3
1988-04-28,8.6606972,2.9,1.6
1988-04-29,8.6539849,0.3,2.2
1988-04-30,8.6474439,0.3,2.5
1988-05-01,8.6410439,4.0,2.5
1988-05-02,8.6347701,2.3,2.7
1988-05-03,8.6286585,6.5,1.9
1988-05-04,8.6227985,1.5,1.8
1988-05-05,8.6172485,0.0,2.2
1988-05-06,8.6118410,0.0,3.8
